round,node,idle_ticks,busy_ticks
10,24,415,848
10,25,810,453
10,26,854,409
10,27,832,431
10,28,623,640
10,29,15,1248
11,0,1215,48
11,1,1201,62
11,2,1169,94
11,3,1175,88
11,4,1189,74
11,5,1206,57
11,6,1194,69
11,7,1173,90
11,8,1213,50
11,9,1169,94
11,10,1208,55
11,11,1142,121
11,12,1185,78
11,13,1187,76
11,14,1177,86
11,15,621,642
11,16,40,1223
11,17,547,716
11,18,614,649
11,19,861,402
11,20,536,727
11,21,790,473
11,22,488,775
11,23,962,301
11,24,415,848
11,25,810,453
11,26,854,409
11,27,832,431
11,28,623,640
11,29,15,1248
12,0,1215,48
12,1,1201,62
12,2,1169,94
12,3,1175,88
12,4,1189,74
12,5,1206,57
12,6,1194,69
12,7,1173,90
12,8,1213,50
12,9,1169,94
12,10,1208,55
12,11,1142,121
12,12,1185,78
12,13,1187,76
12,14,1177,86
12,15,621,642
12,16,40,1223
12,17,547,716
12,18,614,649
12,19,861,402
12,20,536,727
12,21,790,473
12,22,488,775
12,23,962,301
12,24,415,848
12,25,810,453
12,26,854,409
12,27,832,431
12,28,623,640
12,29,15,1248
13,0,1215,48
13,1,1201,62
13,2,1169,94
13,3,1175,88
13,4,1189,74
13,5,1206,57
13,6,1194,69
13,7,1173,90
13,8,1213,50
13,9,1169,94
13,10,1208,55
13,11,1142,121
13,12,1166,97
13,13,1187,76
13,14,1177,86
13,15,621,642
13,16,40,1223
13,17,547,716
13,18,614,649
13,19,861,402
13,20,536,727
13,21,790,473
13,22,488,775
13,23,962,301
13,24,415,848
13,25,810,453
13,26,854,409
13,27,832,431
13,28,623,640
13,29,15,1248
14,0,1215,48
14,1,1201,62
14,2,1169,94
14,3,1175,88
14,4,1189,74
14,5,1206,57
14,6,1194,69
14,7,1173,90
14,8,1213,50
14,9,1169,94
14,10,1208,55
14,11,1142,121
14,12,1185,78
14,13,1187,76
14,14,1177,86
14,15,621,642
14,16,40,1223
14,17,547,716
14,18,614,649
14,19,861,402
14,20,536,727
14,21,790,473
14,22,488,775
14,23,962,301
14,24,415,848
14,25,810,453
14,26,854,409
14,27,832,431
14,28,623,640
14,29,15,1248
15,0,1215,48
15,1,1201,62
15,2,1169,94
15,3,1175,88
15,4,1189,74
15,5,1206,57
15,6,1194,69
15,7,1173,90
15,8,1213,50
15,9,1169,94
15,10,1208,55
15,11,1142,121
15,12,1185,78
15,13,1187,76
15,14,1177,86
15,15,621,642
15,16,40,1223
15,17,547,716
15,18,614,649
15,19,861,402
15,20,536,727
15,21,790,473
15,22,488,775
15,23,962,301
15,24,415,848
15,25,810,453
15,26,854,409
15,27,832,431
15,28,623,640
15,29,15,1248
16,0,1215,48
16,1,1201,62
16,2,1169,94
16,3,1175,88
16,4,1189,74
16,5,1206,57
16,6,1194,69
16,7,1173,90
16,8,1213,50
16,9,1169,94
16,10,1208,55
16,11,1142,121
16,12,1166,97
16,13,1187,76
16,14,1177,86
16,15,621,642
16,16,40,1223
16,17,547,716
16,18,614,649
16,19,861,402
16,20,536,727
16,21,790,473
16,22,488,775
16,23,962,301
16,24,415,848
16,25,810,453
16,26,854,409
16,27,832,431
16,28,623,640
16,29,15,1248
17,0,1215,48
17,1,1201,62
17,2,1169,94
17,3,1175,88
17,4,1189,74
17,5,1206,57
17,6,1194,69
17,7,1173,90
17,8,1213,50
17,9,1169,94
17,10,1208,55
17,11,1142,121
17,12,1185,78
17,13,1187,76
17,14,1177,86
17,15,621,642
17,16,40,1223
17,17,547,716
17,18,614,649
17,19,861,402
17,20,536,727
17,21,790,473
17,22,488,775
17,23,962,301
17,24,415,848
17,25,810,453
17,26,854,409
17,27,832,431
17,28,623,640
17,29,15,1248
18,0,1215,48
18,1,1201,62
18,2,1169,94
18,3,1175,88
18,4,1189,74
18,5,1206,57
18,6,1194,69
18,7,1173,90
18,8,1213,50
18,9,1169,94
18,10,1208,55
18,11,1142,121
18,12,1185,78
18,13,1187,76
18,14,1177,86
