round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,1246,22,38,0
1,1246,22,39,0
2,1246,22,38,0
3,1246,22,39,0
4,1246,22,38,0
5,1246,22,38,0
6,1246,22,39,0
7,1246,22,38,0
8,1246,22,38,0
9,1246,22,38,0
10,1246,22,38,0
11,1246,22,39,0
12,1246,22,38,0
13,1246,22,38,0
14,1246,22,39,0
15,1246,22,38,0
16,1246,22,38,0
17,1246,22,39,0
18,1246,22,39,0
19,1246,22,38,0
20,1246,22,38,0
21,1246,22,39,0
22,1246,22,38,0
23,1246,22,39,0
24,1246,22,38,0
25,1246,22,38,0
26,1246,22,38,0
27,1246,22,38,0
28,1246,22,39,0
29,1246,22,38,0
30,1246,22,38,0
31,1246,22,38,0
32,1246,22,39,0
33,1246,22,39,0
34,1246,22,38,0
35,1246,22,39,0
36,1246,22,39,0
37,1246,22,38,0
38,1246,22,39,0
39,1246,20,38,0
40,1246,22,38,0
41,1246,22,38,0
42,1246,22,39,0
43,1246,20,38,0
44,1246,22,38,0
45,1246,22,39,0
46,1246,22,39,0
47,1246,22,38,0
48,1246,22,38,0
49,1246,22,38,0
50,1246,22,38,0
51,1246,22,39,0
52,1246,22,39,0
53,1246,22,39,0
54,1246,22,39,0
55,1246,22,38,0
56,1246,22,38,0
57,1246,22,38,0
58,1246,22,38,0
59,1246,22,38,0
60,1246,22,38,0
61,1246,22,39,0
62,1246,22,39,0
63,1246,22,38,0
64,1246,22,39,0
65,1246,22,39,0
66,1246,22,39,0
67,1246,22,39,0
68,1246,22,38,0
69,1246,22,38,0
70,1246,22,39,0
71,1246,22,39,0
72,1246,22,38,0
73,1246,22,38,0
74,1246,22,39,0
75,1246,22,38,0
76,1246,22,38,0
77,1246,22,39,0
78,1246,22,39,0
79,1246,22,38,0
80,1246,22,38,0
81,1246,22,38,0
82,1246,22,38,0
83,1246,22,38,0
84,1246,22,39,0
85,1246,22,38,0
86,1246,22,39,0
87,1246,22,38,0
88,1246,22,39,0
89,1246,22,38,0
90,1246,22,38,0
91,1246,22,38,0
92,1246,22,38,0
93,1246,22,39,0
94,1246,22,38,0
95,1246,22,38,0
96,1246,22,38,0
97,1246,22,38,0
98,1246,22,38,0
99,1246,22,38,0
