round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,1,246824,14,29133.332686,29133.332686,0
0,1,0,246824,14,29133.332686,29133.332686,0
0,0,2,246824,10,29133.332686,43699.999353,0
0,2,0,246824,10,43699.999353,29133.332686,0
0,0,3,246824,33,29133.332686,29133.332686,0
0,3,0,246824,33,29133.332686,29133.332686,0
0,1,2,246824,11,29133.332686,43699.999353,0
0,2,1,246824,11,43699.999353,29133.332686,0
0,1,4,246824,29,29133.332686,29133.332686,0
0,4,1,246824,29,29133.332686,29133.332686,0
0,3,4,246824,41,29133.332686,29133.332686,0
0,4,3,246824,41,29133.332686,29133.332686,0
0,3,5,246824,40,29133.332686,43699.999353,0
0,5,3,246824,40,43699.999353,29133.332686,0
0,4,5,246824,40,29133.332686,43699.999353,0
0,5,4,246824,40,43699.999353,29133.332686,0
1,0,1,246824,14,29133.332686,29133.332686,0
1,1,0,246824,14,29133.332686,29133.332686,0
1,0,2,246824,10,29133.332686,43699.999353,0
1,2,0,246824,10,43699.999353,29133.332686,0
1,0,3,246824,33,29133.332686,29133.332686,0
1,3,0,246824,33,29133.332686,29133.332686,0
1,1,2,246824,11,29133.332686,43699.999353,0
1,2,1,246824,11,43699.999353,29133.332686,0
1,1,4,246824,29,29133.332686,29133.332686,0
1,4,1,246824,29,29133.332686,29133.332686,0
1,3,4,246824,41,29133.332686,29133.332686,0
1,4,3,246824,41,29133.332686,29133.332686,0
1,3,5,246824,40,29133.332686,43699.999353,0
1,5,3,246824,40,43699.999353,29133.332686,0
1,4,5,246824,40,29133.332686,43699.999353,0
1,5,4,246824,40,43699.999353,29133.332686,0
2,0,1,246824,14,29130.554908,29130.554908,0
2,1,0,246824,14,29130.554908,29130.554908,0
2,0,2,246824,10,29130.554908,43695.832686,0
2,2,0,246824,10,43695.832686,29130.554908,0
2,0,3,246824,33,29130.554908,43695.832686,0
2,3,0,246824,33,43695.832686,29130.554908,0
2,1,2,246824,11,29130.554908,43695.832686,0
2,2,1,246824,11,43695.832686,29130.554908,0
2,1,4,246824,29,29130.554908,43695.832686,0
2,4,1,246824,29,43695.832686,29130.554908,0
2,3,5,246824,40,43695.832686,43695.832686,0
2,5,3,246824,40,43695.832686,43695.832686,0
2,4,5,246824,40,43695.832686,43695.832686,0
2,5,4,246824,40,43695.832686,43695.832686,0
3,0,1,246824,14,29133.332686,29133.332686,0
3,1,0,246824,14,29133.332686,29133.332686,0
3,0,2,246824,10,29133.332686,43699.999353,0
3,2,0,246824,10,43699.999353,29133.332686,0
3,0,3,246824,33,29133.332686,29133.332686,0
3,3,0,246824,33,29133.332686,29133.332686,0
3,1,2,246824,11,29133.332686,43699.999353,0
3,2,1,246824,11,43699.999353,29133.332686,0
3,1,4,246824,29,29133.332686,29133.332686,0
3,4,1,246824,29,29133.332686,29133.332686,0
3,3,4,246824,41,29133.332686,29133.332686,0
3,4,3,246824,41,29133.332686,29133.332686,0
3,3,5,246824,40,29133.332686,43699.999353,0
3,5,3,246824,40,43699.999353,29133.332686,0
3,4,5,246824,40,29133.332686,43699.999353,0
3,5,4,246824,40,43699.999353,29133.332686,0
4,0,1,246824,14,29133.332686,29133.332686,0
4,1,0,246824,14,29133.332686,29133.332686,0
4,0,2,246824,10,29133.332686,43699.999353,0
4,2,0,246824,10,43699.999353,29133.332686,0
4,0,3,246824,33,29133.332686,29133.332686,0
4,3,0,246824,33,29133.332686,29133.332686,0
4,1,2,246824,11,29133.332686,43699.999353,0
4,2,1,246824,11,43699.999353,29133.332686,0
4,1,4,246824,29,29133.332686,29133.332686,0
4,4,1,246824,29,29133.332686,29133.332686,0
4,3,4,246824,41,29133.332686,29133.332686,0
4,4,3,246824,41,29133.332686,29133.332686,0
4,3,5,246824,40,29133.332686,43699.999353,0
4,5,3,246824,40,43699.999353,29133.332686,0
4,4,5,246824,40,29133.332686,43699.999353,0
4,5,4,246824,40,43699.999353,29133.332686,0
5,0,1,246824,14,29133.332867,29133.332867,0
5,1,0,246824,14,29133.332867,29133.332867,0
5,0,2,246824,10,29133.332867,43699.999533,0
5,2,0,246824,10,43699.999533,29133.332867,0
5,0,3,246824,33,29133.332867,29133.332867,0
5,3,0,246824,33,29133.332867,29133.332867,0
5,1,2,246824,11,29133.332867,43699.999533,0
5,2,1,246824,11,43699.999533,29133.332867,0
5,1,4,246824,29,29133.332867,29133.332867,0
5,4,1,246824,29,29133.332867,29133.332867,0
5,3,4,246824,41,29133.332867,29133.332867,0
5,4,3,246824,41,29133.332867,29133.332867,0
5,3,5,246824,40,29133.332867,43699.999533,0
5,5,3,246824,40,43699.999533,29133.332867,0
5,4,5,246824,40,29133.332867,43699.999533,0
5,5,4,246824,40,43699.999533,29133.332867,0
6,0,1,246824,14,29133.332686,29133.332686,0
6,1,0,246824,14,29133.332686,29133.332686,0
6,0,2,246824,10,29133.332686,43699.999353,0
6,2,0,246824,10,43699.999353,29133.332686,0
6,0,3,246824,33,29133.332686,29133.332686,0
6,3,0,246824,33,29133.332686,29133.332686,0
6,1,2,246824,11,29133.332686,43699.999353,0
6,2,1,246824,11,43699.999353,29133.332686,0
6,1,4,246824,29,29133.332686,29133.332686,0
6,4,1,246824,29,29133.332686,29133.332686,0
6,3,4,246824,41,29133.332686,29133.332686,0
6,4,3,246824,41,29133.332686,29133.332686,0
6,3,5,246824,40,29133.332686,43699.999353,0
6,5,3,246824,40,43699.999353,29133.332686,0
6,4,5,246824,40,29133.332686,43699.999353,0
6,5,4,246824,40,43699.999353,29133.332686,0
7,0,1,246824,14,29130.554908,29130.554908,0
7,1,0,246824,14,29130.554908,29130.554908,0
7,0,2,246824,10,29130.554908,43695.832686,0
7,2,0,246824,10,43695.832686,29130.554908,0
7,0,3,246824,33,29130.554908,43695.832686,0
7,3,0,246824,33,43695.832686,29130.554908,0
7,1,2,246824,11,29130.554908,43695.832686,0
7,2,1,246824,11,43695.832686,29130.554908,0
7,1,4,246824,29,29130.554908,43695.832686,0
7,4,1,246824,29,43695.832686,29130.554908,0
7,3,5,246824,40,43695.832686,43695.832686,0
7,5,3,246824,40,43695.832686,43695.832686,0
7,4,5,246824,40,43695.832686,43695.832686,0
7,5,4,246824,40,43695.832686,43695.832686,0
8,0,1,246824,14,29133.332686,29133.332686,0
8,1,0,246824,14,29133.332686,29133.332686,0
8,0,2,246824,10,29133.332686,43699.999353,0
8,2,0,246824,10,43699.999353,29133.332686,0
8,0,3,246824,33,29133.332686,29133.332686,0
8,3,0,246824,33,29133.332686,29133.332686,0
8,1,2,246824,11,29133.332686,43699.999353,0
8,2,1,246824,11,43699.999353,29133.332686,0
8,1,4,246824,29,29133.332686,29133.332686,0
8,4,1,246824,29,29133.332686,29133.332686,0
8,3,4,246824,41,29133.332686,29133.332686,0
8,4,3,246824,41,29133.332686,29133.332686,0
8,3,5,246824,40,29133.332686,43699.999353,0
8,5,3,246824,40,43699.999353,29133.332686,0
8,4,5,246824,40,29133.332686,43699.999353,0
8,5,4,246824,40,43699.999353,29133.332686,0
9,0,1,246824,14,29133.332686,29133.332686,0
9,1,0,246824,14,29133.332686,29133.332686,0
9,0,2,246824,10,29133.332686,43699.999353,0
9,2,0,246824,10,43699.999353,29133.332686,0
9,0,3,246824,33,29133.332686,29133.332686,0
9,3,0,246824,33,29133.332686,29133.332686,0
9,1,2,246824,11,29133.332686,43699.999353,0
9,2,1,246824,11,43699.999353,29133.332686,0
9,1,4,246824,29,29133.332686,29133.332686,0
9,4,1,246824,29,29133.332686,29133.332686,0
9,3,4,246824,41,29133.332686,29133.332686,0
9,4,3,246824,41,29133.332686,29133.332686,0
9,3,5,246824,40,29133.332686,43699.999353,0
9,5,3,246824,40,43699.999353,29133.332686,0
9,4,5,246824,40,29133.332686,43699.999353,0
9,5,4,246824,40,43699.999353,29133.332686,0
10,0,1,246824,14,29133.332686,29133.332686,0
10,1,0,246824,14,29133.332686,29133.332686,0
10,0,2,246824,10,29133.332686,43699.999353,0
10,2,0,246824,10,43699.999353,29133.332686,0
10,0,3,246824,33,29133.332686,29133.332686,0
10,3,0,246824,33,29133.332686,29133.332686,0
10,1,2,246824,11,29133.332686,43699.999353,0
10,2,1,246824,11,43699.999353,29133.332686,0
10,1,4,246824,29,29133.332686,29133.332686,0
10,4,1,246824,29,29133.332686,29133.332686,0
10,3,4,246824,41,29133.332686,29133.332686,0
10,4,3,246824,41,29133.332686,29133.332686,0
10,3,5,246824,40,29133.332686,43699.999353,0
10,5,3,246824,40,43699.999353,29133.332686,0
10,4,5,246824,40,29133.332686,43699.999353,0
10,5,4,246824,40,43699.999353,29133.332686,0
11,0,1,246824,14,29133.333047,29133.333047,0
11,1,0,246824,14,29133.333047,29133.333047,0
11,0,2,246824,10,29133.333047,43699.999714,0
11,2,0,246824,10,43699.999714,29133.333047,0
11,0,3,246824,33,29133.333047,29133.333047,0
11,3,0,246824,33,29133.333047,29133.333047,0
11,1,2,246824,11,29133.333047,43699.999714,0
11,2,1,246824,11,43699.999714,29133.333047,0
11,1,4,246824,29,29133.333047,29133.333047,0
11,4,1,246824,29,29133.333047,29133.333047,0
11,3,4,246824,41,29133.333047,29133.333047,0
11,4,3,246824,41,29133.333047,29133.333047,0
11,3,5,246824,40,29133.333047,43699.999714,0
11,5,3,246824,40,43699.999714,29133.333047,0
11,4,5,246824,40,29133.333047,43699.999714,0
11,5,4,246824,40,43699.999714,29133.333047,0
12,0,1,246824,14,29133.332686,29133.332686,0
12,1,0,246824,14,29133.332686,29133.332686,0
12,0,2,246824,10,29133.332686,43699.999353,0
12,2,0,246824,10,43699.999353,29133.332686,0
12,0,3,246824,33,29133.332686,29133.332686,0
12,3,0,246824,33,29133.332686,29133.332686,0
12,1,2,246824,11,29133.332686,43699.999353,0
12,2,1,246824,11,43699.999353,29133.332686,0
12,1,4,246824,29,29133.332686,29133.332686,0
12,4,1,246824,29,29133.332686,29133.332686,0
12,3,4,246824,41,29133.332686,29133.332686,0
12,4,3,246824,41,29133.332686,29133.332686,0
12,3,5,246824,40,29133.332686,43699.999353,0
12,5,3,246824,40,43699.999353,29133.332686,0
12,4,5,246824,40,29133.332686,43699.999353,0
12,5,4,246824,40,43699.999353,29133.332686,0
13,0,1,246824,14,29133.332686,29133.332686,0
13,1,0,246824,14,29133.332686,29133.332686,0
13,0,2,246824,10,29133.332686,43699.999353,0
13,2,0,246824,10,43699.999353,29133.332686,0
13,0,3,246824,33,29133.332686,29133.332686,0
13,3,0,246824,33,29133.332686,29133.332686,0
13,1,2,246824,11,29133.332686,43699.999353,0
13,2,1,246824,11,43699.999353,29133.332686,0
13,1,4,246824,29,29133.332686,29133.332686,0
13,4,1,246824,29,29133.332686,29133.332686,0
13,3,4,246824,41,29133.332686,29133.332686,0
13,4,3,246824,41,29133.332686,29133.332686,0
13,3,5,246824,40,29133.332686,43699.999353,0
13,5,3,246824,40,43699.999353,29133.332686,0
13,4,5,246824,40,29133.332686,43699.999353,0
13,5,4,246824,40,43699.999353,29133.332686,0
14,0,1,246824,14,29130.554908,29130.554908,0
14,1,0,246824,14,29130.554908,29130.554908,0
14,0,2,246824,10,29130.554908,43695.832686,0
14,2,0,246824,10,43695.832686,29130.554908,0
14,0,3,246824,33,29130.554908,43695.832686,0
14,3,0,246824,33,43695.832686,29130.554908,0
14,1,2,246824,11,29130.554908,43695.832686,0
14,2,1,246824,11,43695.832686,29130.554908,0
14,1,4,246824,29,29130.554908,43695.832686,0
14,4,1,246824,29,43695.832686,29130.554908,0
14,3,5,246824,40,43695.832686,43695.832686,0
14,5,3,246824,40,43695.832686,43695.832686,0
14,4,5,246824,40,43695.832686,43695.832686,0
14,5,4,246824,40,43695.832686,43695.832686,0
15,0,1,246824,14,29130.554908,29130.554908,0
15,1,0,246824,14,29130.554908,29130.554908,0
15,0,2,246824,10,29130.554908,43695.832686,0
15,2,0,246824,10,43695.832686,29130.554908,0
15,0,3,246824,33,29130.554908,43695.832686,0
15,3,0,246824,33,43695.832686,29130.554908,0
15,1,2,246824,11,29130.554908,43695.832686,0
15,2,1,246824,11,43695.832686,29130.554908,0
15,1,4,246824,29,29130.554908,43695.832686,0
15,4,1,246824,29,43695.832686,29130.554908,0
15,3,5,246824,40,43695.832686,43695.832686,0
15,5,3,246824,40,43695.832686,43695.832686,0
15,4,5,246824,40,43695.832686,43695.832686,0
15,5,4,246824,40,43695.832686,43695.832686,0
16,0,1,246824,14,29133.332686,29133.332686,0
16,1,0,246824,14,29133.332686,29133.332686,0
16,0,2,246824,10,29133.332686,43699.999353,0
16,2,0,246824,10,43699.999353,29133.332686,0
16,0,3,246824,33,29133.332686,29133.332686,0
16,3,0,246824,33,29133.332686,29133.332686,0
16,1,2,246824,11,29133.332686,43699.999353,0
16,2,1,246824,11,43699.999353,29133.332686,0
16,1,4,246824,29,29133.332686,29133.332686,0
16,4,1,246824,29,29133.332686,29133.332686,0
16,3,4,246824,41,29133.332686,29133.332686,0
16,4,3,246824,41,29133.332686,29133.332686,0
16,3,5,246824,40,29133.332686,43699.999353,0
16,5,3,246824,40,43699.999353,29133.332686,0
16,4,5,246824,40,29133.332686,43699.999353,0
16,5,4,246824,40,43699.999353,29133.332686,0
17,0,1,246824,14,29133.333228,29133.333228,0
17,1,0,246824,14,29133.333228,29133.333228,0
17,0,2,246824,10,29133.333228,43699.999895,0
17,2,0,246824,10,43699.999895,29133.333228,0
17,0,3,246824,33,29133.333228,29133.333228,0
17,3,0,246824,33,29133.333228,29133.333228,0
17,1,2,246824,11,29133.333228,43699.999895,0
17,2,1,246824,11,43699.999895,29133.333228,0
17,1,4,246824,29,29133.333228,29133.333228,0
17,4,1,246824,29,29133.333228,29133.333228,0
17,3,4,246824,41,29133.333228,29133.333228,0
17,4,3,246824,41,29133.333228,29133.333228,0
