round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,2,246824,8,2683.333194,1252.222083,0
0,2,0,246824,8,1252.222083,2683.333194,0
0,0,6,246824,10,2683.333194,1565.277639,0
0,6,0,246824,10,1565.277639,2683.333194,0
0,0,20,246824,36,2683.333194,9391.666528,0
0,20,0,246824,36,9391.666528,2683.333194,0
0,0,24,246824,29,2683.333194,9391.666528,0
0,24,0,246824,29,9391.666528,2683.333194,0
0,0,25,246824,27,2683.333194,9391.666528,0
0,25,0,246824,27,9391.666528,2683.333194,0
0,0,27,246824,33,2683.333194,9391.666528,0
0,27,0,246824,33,9391.666528,2683.333194,0
0,0,28,246824,22,2683.333194,9391.666528,0
0,28,0,246824,22,9391.666528,2683.333194,0
0,1,2,246824,11,9391.666528,1252.222083,0
0,2,1,246824,11,1252.222083,9391.666528,0
0,1,10,246824,12,9391.666528,1565.277639,0
0,10,1,246824,12,1565.277639,9391.666528,0
0,2,3,246824,8,1252.222083,6261.110972,0
0,3,2,246824,8,6261.110972,1252.222083,0
0,2,4,246824,9,1252.222083,4695.833194,0
0,4,2,246824,9,4695.833194,1252.222083,0
0,2,5,246824,8,1252.222083,4695.833194,0
0,5,2,246824,8,4695.833194,1252.222083,0
0,2,6,246824,8,1252.222083,1565.277639,0
0,6,2,246824,8,1565.277639,1252.222083,0
0,2,7,246824,7,1252.222083,9391.666528,0
0,7,2,246824,7,9391.666528,1252.222083,0
0,2,9,246824,10,1252.222083,9391.666528,0
0,9,2,246824,10,9391.666528,1252.222083,0
0,2,15,246824,20,1252.222083,9391.666528,0
0,15,2,246824,20,9391.666528,1252.222083,0
0,2,23,246824,37,1252.222083,9391.666528,0
0,23,2,246824,37,9391.666528,1252.222083,0
0,2,24,246824,27,1252.222083,9391.666528,0
0,24,2,246824,27,9391.666528,1252.222083,0
0,2,25,246824,25,1252.222083,9391.666528,0
0,25,2,246824,25,9391.666528,1252.222083,0
0,2,26,246824,26,1252.222083,9391.666528,0
0,26,2,246824,26,9391.666528,1252.222083,0
0,2,27,246824,31,1252.222083,9391.666528,0
0,27,2,246824,31,9391.666528,1252.222083,0
0,2,29,246824,29,1252.222083,9391.666528,0
0,29,2,246824,29,9391.666528,1252.222083,0
0,3,10,246824,9,6261.110972,1565.277639,0
0,10,3,246824,9,1565.277639,6261.110972,0
0,3,21,246824,25,6261.110972,9391.666528,0
0,21,3,246824,25,9391.666528,6261.110972,0
0,4,8,246824,10,4695.833194,3756.666528,0
0,8,4,246824,10,3756.666528,4695.833194,0
0,4,10,246824,10,4695.833194,1565.277639,0
0,10,4,246824,10,1565.277639,4695.833194,0
0,4,14,246824,10,4695.833194,3756.666528,0
0,14,4,246824,10,3756.666528,4695.833194,0
0,5,6,246824,10,4695.833194,1565.277639,0
0,6,5,246824,10,1565.277639,4695.833194,0
0,5,16,246824,30,4695.833194,9391.666528,0
0,16,5,246824,30,9391.666528,4695.833194,0
0,5,18,246824,35,4695.833194,9391.666528,0
0,18,5,246824,35,9391.666528,4695.833194,0
0,6,11,246824,11,1565.277639,9391.666528,0
0,11,6,246824,11,9391.666528,1565.277639,0
0,6,12,246824,9,1565.277639,9391.666528,0
0,12,6,246824,9,9391.666528,1565.277639,0
0,6,13,246824,10,1565.277639,6261.110972,0
0,13,6,246824,10,6261.110972,1565.277639,0
0,6,17,246824,24,1565.277639,9391.666528,0
0,17,6,246824,24,9391.666528,1565.277639,0
0,6,20,246824,35,1565.277639,9391.666528,0
0,20,6,246824,35,9391.666528,1565.277639,0
0,6,21,246824,26,1565.277639,9391.666528,0
0,21,6,246824,26,9391.666528,1565.277639,0
0,6,22,246824,22,1565.277639,9391.666528,0
0,22,6,246824,22,9391.666528,1565.277639,0
0,6,23,246824,38,1565.277639,9391.666528,0
0,23,6,246824,38,9391.666528,1565.277639,0
0,6,29,246824,30,1565.277639,9391.666528,0
