round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,1118,21,36,0
1,1129,21,36,0
2,1123,21,36,0
3,1107,21,36,0
4,1130,21,36,0
5,1121,21,36,0
6,1131,21,36,0
7,1109,21,36,0
8,1124,21,36,0
9,1132,21,36,0
10,1111,21,36,0
11,1115,21,36,0
12,1118,21,36,0
13,1118,21,36,0
14,1142,21,36,0
15,1161,21,36,0
16,1123,21,36,0
17,1194,21,36,0
18,1139,21,36,0
19,1109,21,36,0
