round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,1,246824,12,3199.999882,3199.999882,0
0,1,0,246824,12,3199.999882,3199.999882,0
0,0,16,246824,22,3199.999882,3999.999882,0
0,16,0,246824,22,3999.999882,3199.999882,0
0,0,19,246824,27,3199.999882,3999.999882,0
0,19,0,246824,27,3999.999882,3199.999882,0
0,0,23,246824,25,3199.999882,7999.999882,0
0,23,0,246824,25,7999.999882,3199.999882,0
0,0,29,246824,31,3199.999882,7999.999882,0
0,29,0,246824,31,7999.999882,3199.999882,0
0,1,2,246824,10,3199.999882,3999.999882,0
0,2,1,246824,10,3999.999882,3199.999882,0
0,1,3,246824,11,3199.999882,3999.999882,0
0,3,1,246824,11,3999.999882,3199.999882,0
0,1,4,246824,9,3199.999882,2285.714167,0
0,4,1,246824,9,2285.714167,3199.999882,0
0,1,20,246824,37,3199.999882,7999.999882,0
0,20,1,246824,37,7999.999882,3199.999882,0
0,2,4,246824,8,3999.999882,2285.714167,0
0,4,2,246824,8,2285.714167,3999.999882,0
0,2,21,246824,35,3999.999882,7999.999882,0
0,21,2,246824,35,7999.999882,3999.999882,0
0,2,29,246824,28,3999.999882,7999.999882,0
0,29,2,246824,28,7999.999882,3999.999882,0
0,3,6,246824,11,3999.999882,3199.999882,0
0,6,3,246824,11,3199.999882,3999.999882,0
0,3,27,246824,29,3999.999882,7999.999882,0
0,27,3,246824,29,7999.999882,3999.999882,0
0,3,28,246824,32,3999.999882,7999.999882,0
0,28,3,246824,32,7999.999882,3999.999882,0
0,4,5,246824,9,2285.714167,3999.999882,0
0,5,4,246824,9,3999.999882,2285.714167,0
0,4,6,246824,9,2285.714167,3199.999882,0
0,6,4,246824,9,3199.999882,2285.714167,0
0,4,7,246824,9,2285.714167,5333.333215,0
0,7,4,246824,9,5333.333215,2285.714167,0
0,4,12,246824,9,2285.714167,5333.333215,0
0,12,4,246824,9,5333.333215,2285.714167,0
0,4,13,246824,6,2285.714167,2666.666548,0
0,13,4,246824,6,2666.666548,2285.714167,0
0,5,6,246824,12,3999.999882,3199.999882,0
0,6,5,246824,12,3199.999882,3999.999882,0
0,5,19,246824,27,3999.999882,3999.999882,0
0,19,5,246824,27,3999.999882,3999.999882,0
0,5,26,246824,29,3999.999882,5333.333215,0
0,26,5,246824,29,5333.333215,3999.999882,0
0,6,9,246824,11,3199.999882,3199.999882,0
0,9,6,246824,11,3199.999882,3199.999882,0
0,6,18,246824,21,3199.999882,3999.999882,0
0,18,6,246824,21,3999.999882,3199.999882,0
0,7,10,246824,11,5333.333215,2666.666548,0
0,10,7,246824,11,2666.666548,5333.333215,0
0,7,24,246824,24,5333.333215,7999.999882,0
0,24,7,246824,24,7999.999882,5333.333215,0
0,8,9,246824,12,3999.999882,3199.999882,0
0,9,8,246824,12,3199.999882,3999.999882,0
0,8,10,246824,11,3999.999882,2666.666548,0
0,10,8,246824,11,2666.666548,3999.999882,0
0,8,20,246824,38,3999.999882,7999.999882,0
0,20,8,246824,38,7999.999882,3999.999882,0
0,8,26,246824,29,3999.999882,5333.333215,0
0,26,8,246824,29,5333.333215,3999.999882,0
0,9,10,246824,11,3199.999882,2666.666548,0
0,10,9,246824,11,2666.666548,3199.999882,0
0,9,24,246824,23,3199.999882,7999.999882,0
0,24,9,246824,23,7999.999882,3199.999882,0
0,9,27,246824,29,3199.999882,7999.999882,0
0,27,9,246824,29,7999.999882,3199.999882,0
0,10,12,246824,11,2666.666548,5333.333215,0
0,12,10,246824,11,5333.333215,2666.666548,0
0,10,13,246824,8,2666.666548,2666.666548,0
0,13,10,246824,8,2666.666548,2666.666548,0
0,10,16,246824,21,2666.666548,3999.999882,0
0,16,10,246824,21,3999.999882,2666.666548,0
0,11,13,246824,9,7999.999882,2666.666548,0
0,13,11,246824,9,2666.666548,7999.999882,0
0,11,14,246824,9,7999.999882,3199.999882,0
0,14,11,246824,9,3199.999882,7999.999882,0
0,12,15,246824,42,5333.333215,7999.999882,0
0,15,12,246824,42,7999.999882,5333.333215,0
0,13,14,246824,7,2666.666548,3199.999882,0
0,14,13,246824,7,3199.999882,2666.666548,0
0,13,16,246824,19,2666.666548,3999.999882,0
0,16,13,246824,19,3999.999882,2666.666548,0
0,13,21,246824,35,2666.666548,7999.999882,0
0,21,13,246824,35,7999.999882,2666.666548,0
0,14,15,246824,39,3199.999882,7999.999882,0
0,15,14,246824,39,7999.999882,3199.999882,0
0,14,17,246824,20,3199.999882,5333.333215,0
0,17,14,246824,20,5333.333215,3199.999882,0
0,14,25,246824,26,3199.999882,7999.999882,0
0,25,14,246824,26,7999.999882,3199.999882,0
0,16,18,246824,24,3999.999882,3999.999882,0
0,18,16,246824,24,3999.999882,3999.999882,0
0,17,18,246824,24,5333.333215,3999.999882,0
0,18,17,246824,24,3999.999882,5333.333215,0
0,17,28,246824,34,5333.333215,7999.999882,0
0,28,17,246824,34,7999.999882,5333.333215,0
0,18,22,246824,27,3999.999882,7999.999882,0
0,22,18,246824,27,7999.999882,3999.999882,0
0,19,22,246824,31,3999.999882,7999.999882,0
0,22,19,246824,31,7999.999882,3999.999882,0
0,19,23,246824,30,3999.999882,7999.999882,0
0,23,19,246824,30,7999.999882,3999.999882,0
0,25,26,246824,35,7999.999882,5333.333215,0
0,26,25,246824,35,5333.333215,7999.999882,0
1,0,1,246824,12,2662.499882,3194.999882,0
1,1,0,246824,12,3194.999882,2662.499882,0
1,0,16,246824,22,2662.499882,7987.499882,0
1,16,0,246824,22,7987.499882,2662.499882,0
1,0,19,246824,27,2662.499882,7987.499882,0
1,19,0,246824,27,7987.499882,2662.499882,0
1,0,21,246824,38,2662.499882,7987.499882,0
1,21,0,246824,38,7987.499882,2662.499882,0
1,0,23,246824,25,2662.499882,5324.999882,0
1,23,0,246824,25,5324.999882,2662.499882,0
1,0,27,246824,30,2662.499882,7987.499882,0
1,27,0,246824,30,7987.499882,2662.499882,0
1,1,2,246824,10,3194.999882,2662.499882,0
1,2,1,246824,10,2662.499882,3194.999882,0
1,1,3,246824,11,3194.999882,5324.999882,0
1,3,1,246824,11,5324.999882,3194.999882,0
1,1,4,246824,9,3194.999882,3993.749882,0
1,4,1,246824,9,3993.749882,3194.999882,0
1,1,20,246824,37,3194.999882,7987.499882,0
1,20,1,246824,37,7987.499882,3194.999882,0
1,2,4,246824,8,2662.499882,3993.749882,0
1,4,2,246824,8,3993.749882,2662.499882,0
1,2,5,246824,11,2662.499882,3993.749882,0
1,5,2,246824,11,3993.749882,2662.499882,0
1,2,15,246824,39,2662.499882,7987.499882,0
