round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,920,22,38,0
1,917,21,38,0
2,918,21,39,0
3,917,21,38,0
4,920,23,38,0
5,920,21,39,0
6,918,21,39,0
7,920,21,38,0
8,917,21,38,0
9,920,21,39,0
10,917,21,38,0
11,920,21,39,0
12,920,22,39,0
13,917,21,38,0
14,920,22,38,0
15,920,21,39,0
16,918,21,39,0
17,920,21,38,0
18,917,24,38,0
19,920,21,39,0
20,917,21,38,0
21,918,22,39,0
22,920,21,38,0
23,918,21,39,0
24,918,22,39,0
25,920,21,38,0
26,917,21,38,0
27,920,21,38,0
28,918,22,39,0
29,920,21,39,0
30,917,22,38,0
31,917,21,39,0
32,920,21,38,0
33,920,21,39,0
34,917,21,38,0
35,917,21,38,0
36,918,21,39,0
37,920,21,39,0
38,917,21,38,0
39,917,21,38,0
40,920,21,39,0
41,917,24,38,0
42,917,24,38,0
43,917,21,39,0
44,920,21,38,0
45,917,21,38,0
46,918,21,39,0
47,920,21,39,0
48,917,21,38,0
49,918,22,39,0
50,920,22,38,0
51,920,22,38,0
52,920,22,38,0
53,920,22,38,0
54,920,22,38,0
55,920,23,38,0
56,920,23,38,0
57,920,22,38,0
58,920,23,38,0
59,920,23,38,0
60,920,23,38,0
61,920,23,38,0
62,920,23,38,0
63,920,23,38,0
64,920,23,38,0
65,920,23,38,0
66,920,23,38,0
67,920,23,38,0
68,920,23,38,0
69,920,23,38,0
70,920,23,38,0
71,920,22,38,0
72,920,23,38,0
73,920,23,38,0
74,920,23,38,0
75,920,23,38,0
76,920,23,38,0
77,920,22,38,0
78,920,22,38,0
79,920,22,38,0
80,920,22,38,0
81,920,22,38,0
82,920,22,38,0
83,920,21,38,0
84,920,22,38,0
85,920,21,38,0
86,920,22,38,0
87,920,21,38,0
88,920,22,38,0
89,920,21,38,0
90,920,21,38,0
91,920,21,38,0
92,920,21,38,0
93,920,21,38,0
94,920,22,38,0
95,920,21,38,0
96,920,22,38,0
97,920,21,38,0
98,920,21,38,0
99,920,21,38,0
