round,node,idle_ticks,busy_ticks
0,0,6180,463
0,1,6006,637
0,2,5892,751
0,3,3433,3210
0,4,2099,4544
0,5,0,6643
1,0,6183,463
1,1,6009,637
1,2,5895,751
1,3,3433,3213
1,4,2091,4555
1,5,3,6643
2,0,6180,463
2,1,6006,637
2,2,5892,751
2,3,3433,3210
2,4,2099,4544
2,5,0,6643
3,0,6183,463
3,1,6009,637
3,2,5895,751
3,3,3433,3213
3,4,2091,4555
3,5,3,6643
4,0,6183,463
4,1,6009,637
4,2,5895,751
4,3,3433,3213
4,4,2091,4555
4,5,3,6643
5,0,6180,463
5,1,6006,637
5,2,5892,751
5,3,3433,3210
5,4,2099,4544
5,5,0,6643
6,0,6183,463
6,1,6009,637
6,2,5895,751
6,3,3433,3213
6,4,2091,4555
6,5,3,6643
7,0,6180,463
7,1,6006,637
7,2,5892,751
7,3,3433,3210
7,4,2099,4544
7,5,0,6643
8,0,6183,463
8,1,6009,637
8,2,5895,751
8,3,3433,3213
8,4,2091,4555
8,5,3,6643
9,0,6180,463
9,1,6006,637
9,2,5892,751
9,3,3433,3210
9,4,2099,4544
9,5,0,6643
10,0,6180,463
10,1,6006,637
10,2,5892,751
10,3,3433,3210
10,4,2099,4544
10,5,0,6643
11,0,6180,463
11,1,6006,637
11,2,5892,751
11,3,3433,3210
11,4,2099,4544
11,5,0,6643
12,0,6180,463
12,1,6006,637
12,2,5892,751
12,3,3433,3210
12,4,2099,4544
12,5,0,6643
13,0,6180,463
13,1,6006,637
13,2,5892,751
13,3,3433,3210
13,4,2099,4544
13,5,0,6643
14,0,6180,463
14,1,6006,637
14,2,5892,751
14,3,3433,3210
14,4,2099,4544
14,5,0,6643
15,0,6180,463
15,1,6006,637
15,2,5892,751
15,3,3433,3210
15,4,2099,4544
15,5,0,6643
16,0,6180,463
16,1,6006,637
16,2,5892,751
16,3,3433,3210
16,4,2099,4544
16,5,0,6643
17,0,6180,463
17,1,6006,637
17,2,5892,751
17,3,3433,3210
17,4,2099,4544
17,5,0,6643
18,0,6180,463
18,1,6006,637
18,2,5892,751
18,3,3433,3210
18,4,2099,4544
18,5,0,6643
19,0,6180,463
19,1,6006,637
19,2,5892,751
19,3,3433,3210
19,4,2099,4544
19,5,0,6643
