round,node,idle_ticks,busy_ticks
11,23,1268,610
11,24,1692,186
11,25,1158,720
11,26,1368,510
11,27,1075,803
11,28,6,1872
11,29,700,1178
12,0,1771,107
12,1,1834,44
12,2,1814,64
12,3,1808,70
12,4,1808,70
12,5,1830,48
12,6,1726,152
12,7,1832,46
12,8,1791,87
12,9,1819,59
12,10,1823,55
12,11,1854,24
12,12,1736,142
12,13,1809,69
12,14,1791,87
12,15,1470,408
12,16,1701,177
12,17,1130,748
12,18,1743,135
12,19,739,1139
12,20,1180,698
12,21,1583,295
12,22,1575,303
12,23,1268,610
12,24,1692,186
12,25,1158,720
12,26,1368,510
12,27,1075,803
12,28,6,1872
12,29,700,1178
13,0,1771,107
13,1,1834,44
13,2,1814,64
13,3,1808,70
13,4,1808,70
13,5,1830,48
13,6,1726,152
13,7,1832,46
13,8,1791,87
13,9,1819,59
13,10,1823,55
13,11,1854,24
13,12,1736,142
13,13,1809,69
13,14,1791,87
13,15,1470,408
13,16,1701,177
13,17,1130,748
13,18,1743,135
13,19,739,1139
13,20,1180,698
13,21,1583,295
13,22,1575,303
13,23,1268,610
13,24,1692,186
13,25,1158,720
13,26,1368,510
13,27,1075,803
13,28,6,1872
13,29,700,1178
14,0,1771,107
14,1,1834,44
14,2,1814,64
14,3,1808,70
14,4,1808,70
14,5,1830,48
14,6,1726,152
14,7,1832,46
14,8,1791,87
14,9,1819,59
14,10,1823,55
14,11,1854,24
14,12,1736,142
14,13,1809,69
14,14,1791,87
14,15,1470,408
14,16,1701,177
14,17,1130,748
14,18,1743,135
14,19,739,1139
14,20,1180,698
14,21,1583,295
14,22,1575,303
14,23,1268,610
14,24,1692,186
14,25,1158,720
14,26,1368,510
14,27,1075,803
14,28,6,1872
14,29,700,1178
15,0,1771,107
15,1,1834,44
15,2,1814,64
15,3,1808,70
15,4,1808,70
15,5,1830,48
15,6,1726,152
15,7,1832,46
15,8,1791,87
15,9,1819,59
15,10,1823,55
15,11,1854,24
15,12,1736,142
15,13,1809,69
15,14,1791,87
15,15,1470,408
15,16,1701,177
15,17,1130,748
15,18,1743,135
15,19,739,1139
15,20,1180,698
15,21,1583,295
15,22,1575,303
15,23,1268,610
15,24,1692,186
15,25,1158,720
15,26,1368,510
15,27,1075,803
15,28,6,1872
15,29,700,1178
16,0,1771,107
16,1,1834,44
16,2,1814,64
16,3,1808,70
16,4,1808,70
16,5,1830,48
16,6,1726,152
16,7,1832,46
16,8,1791,87
16,9,1819,59
16,10,1823,55
16,11,1854,24
16,12,1736,142
16,13,1809,69
16,14,1791,87
16,15,1470,408
16,16,1701,177
16,17,1130,748
16,18,1743,135
16,19,739,1139
16,20,1180,698
16,21,1583,295
16,22,1575,303
16,23,1268,610
16,24,1692,186
16,25,1158,720
16,26,1368,510
16,27,1075,803
16,28,6,1872
16,29,700,1178
17,0,1771,107
17,1,1834,44
17,2,1814,64
17,3,1808,70
17,4,1808,70
17,5,1830,48
17,6,1726,152
17,7,1832,46
17,8,1791,87
17,9,1819,59
17,10,1823,55
17,11,1854,24
17,12,1736,142
17,13,1809,69
17,14,1791,87
17,15,1470,408
17,16,1701,177
17,17,1130,748
17,18,1743,135
17,19,739,1139
17,20,1180,698
17,21,1583,295
17,22,1575,303
17,23,1268,610
17,24,1692,186
17,25,1158,720
17,26,1368,510
17,27,1075,803
17,28,6,1872
17,29,700,1178
18,0,1771,107
18,1,1834,44
18,2,1814,64
18,3,1808,70
18,4,1808,70
18,5,1830,48
18,6,1726,152
18,7,1832,46
18,8,1791,87
18,9,1819,59
18,10,1823,55
18,11,1854,24
18,12,1736,142
18,13,1809,69
18,14,1791,87
18,15,1470,408
18,16,1701,177
18,17,1130,748
18,18,1743,135
18,19,739,1139
18,20,1180,698
18,21,1583,295
18,22,1575,303
18,23,1268,610
18,24,1692,186
18,25,1158,720
18,26,1368,510
18,27,1075,803
18,28,6,1872
18,29,700,1178
19,0,1771,107
19,1,1834,44
19,2,1814,64
19,3,1808,70
19,4,1808,70
19,5,1830,48
19,6,1726,152
19,7,1832,46
19,8,1791,87
19,9,1819,59
19,10,1823,55
19,11,1854,24
19,12,1736,142
19,13,1809,69
19,14,1791,87
19,15,1470,408
19,16,1701,177
19,17,1130,748
19,18,1743,135
19,19,739,1139
19,20,1180,698
19,21,1583,295
19,22,1575,303
19,23,1268,610
19,24,1692,186
19,25,1158,720
19,26,1368,510
19,27,1075,803
19,28,6,1872
19,29,700,1178
20,0,1771,107
20,1,1834,44
20,2,1814,64
20,3,1808,70
20,4,1808,70
20,5,1830,48
20,6,1726,152
20,7,1832,46
20,8,1791,87
20,9,1819,59
20,10,1823,55
20,11,1854,24
20,12,1736,142
20,13,1809,69
20,14,1791,87
20,15,1470,408
20,16,1701,177
20,17,1130,748
20,18,1743,135
20,19,739,1139
20,20,1180,698
20,21,1583,295
20,22,1575,303
20,23,1268,610
20,24,1692,186
20,25,1158,720
20,26,1368,510
20,27,1075,803
20,28,6,1872
20,29,700,1178
21,0,1771,107
21,1,1834,44
21,2,1814,64
21,3,1808,70
21,4,1808,70
21,5,1830,48
21,6,1726,152
21,7,1832,46
21,8,1791,87
21,9,1819,59
21,10,1823,55
21,11,1854,24
21,12,1736,142
21,13,1809,69
21,14,1791,87
21,15,1470,408
21,16,1701,177
21,17,1130,748
21,18,1743,135
21,19,739,1139
21,20,1180,698
21,21,1583,295
21,22,1575,303
21,23,1268,610
21,24,1692,186
21,25,1158,720
21,26,1368,510
21,27,1075,803
21,28,6,1872
21,29,700,1178
22,0,1771,107
22,1,1834,44
22,2,1814,64
22,3,1808,70
22,4,1808,70
22,5,1830,48
22,6,1726,152
22,7,1832,46
22,8,1791,87
22,9,1819,59
22,10,1823,55
22,11,1854,24
22,12,1736,142
22,13,1809,69
22,14,1791,87
22,15,1470,408
22,16,1701,177
22,17,1130,748
22,18,1743,135
22,19,739,1139
22,20,1180,698
22,21,1583,295
22,22,1575,303
22,23,1268,610
22,24,1692,186
22,25,1158,720
22,26,1368,510
22,27,1075,803
22,28,6,1872
22,29,700,1178
23,0,1771,107
23,1,1834,44
23,2,1814,64
23,3,1808,70
23,4,1808,70
23,5,1830,48
23,6,1726,152
23,7,1832,46
23,8,1791,87
23,9,1819,59
23,10,1823,55
23,11,1854,24
23,12,1736,142
23,13,1809,69
23,14,1791,87
23,15,1470,408
23,16,1701,177
23,17,1130,748
23,18,1743,135
23,19,739,1139
23,20,1180,698
23,21,1583,295
23,22,1575,303
23,23,1268,610
23,24,1692,186
23,25,1158,720
23,26,1368,510
23,27,1075,803
23,28,6,1872
23,29,700,1178
24,0,1771,107
24,1,1834,44
24,2,1814,64
24,3,1808,70
24,4,1808,70
24,5,1830,48
24,6,1726,152
24,7,1832,46
24,8,1791,87
24,9,1819,59
24,10,1823,55
24,11,1854,24
24,12,1736,142
24,13,1809,69
24,14,1791,87
24,15,1470,408
24,16,1701,177
24,17,1130,748
24,18,1743,135
24,19,739,1139
24,20,1180,698
24,21,1583,295
24,22,1575,303
24,23,1268,610
24,24,1692,186
24,25,1158,720
24,26,1368,510
24,27,1075,803
24,28,6,1872
24,29,700,1178
25,0,1771,107
25,1,1834,44
25,2,1814,64
25,3,1808,70
25,4,1808,70
25,5,1830,48
25,6,1726,152
25,7,1832,46
25,8,1791,87
25,9,1819,59
25,10,1823,55
25,11,1854,24
25,12,1736,142
25,13,1809,69
25,14,1791,87
25,15,1470,408
25,16,1701,177
25,17,1130,748
25,18,1743,135
25,19,739,1139
25,20,1180,698
25,21,1583,295
25,22,1575,303
25,23,1268,610
25,24,1692,186
25,25,1158,720
25,26,1368,510
25,27,1075,803
25,28,6,1872
25,29,700,1178
26,0,1771,107
26,1,1834,44
26,2,1814,64
26,3,1808,70
26,4,1808,70
26,5,1830,48
26,6,1726,152
26,7,1832,46
26,8,1791,87
26,9,1819,59
26,10,1823,55
26,11,1854,24
26,12,1736,142
26,13,1809,69
26,14,1791,87
26,15,1470,408
26,16,1701,177
26,17,1130,748
26,18,1743,135
26,19,739,1139
26,20,1180,698
26,21,1583,295
26,22,1575,303
26,23,1268,610
26,24,1692,186
26,25,1158,720
26,26,1368,510
26,27,1075,803
26,28,6,1872
26,29,700,1178
27,0,1771,107
27,1,1834,44
27,2,1814,64
27,3,1808,70
27,4,1808,70
27,5,1830,48
27,6,1726,152
27,7,1832,46
27,8,1791,87
27,9,1819,59
27,10,1823,55
27,11,1854,24
27,12,1736,142
27,13,1809,69
27,14,1791,87
27,15,1470,408
27,16,1701,177
27,17,1130,748
27,18,1743,135
27,19,739,1139
27,20,1180,698
27,21,1583,295
27,22,1575,303
27,23,1268,610
27,24,1692,186
27,25,1158,720
27,26,1368,510
27,27,1075,803
27,28,6,1872
27,29,700,1178
28,0,1771,107
28,1,1834,44
28,2,1814,64
28,3,1808,70
28,4,1808,70
28,5,1830,48
28,6,1726,152
28,7,1832,46
28,8,1791,87
28,9,1819,59
28,10,1823,55
28,11,1854,24
28,12,1736,142
28,13,1809,69
28,14,1791,87
28,15,1470,408
28,16,1701,177
28,17,1130,748
28,18,1743,135
28,19,739,1139
28,20,1180,698
28,21,1583,295
28,22,1575,303
28,23,1268,610
28,24,1692,186
28,25,1158,720
28,26,1368,510
28,27,1075,803
28,28,6,1872
28,29,700,1178
29,0,1771,107
29,1,1834,44
29,2,1814,64
29,3,1808,70
29,4,1808,70
29,5,1830,48
29,6,1726,152
29,7,1832,46
29,8,1791,87
29,9,1819,59
29,10,1823,55
29,11,1854,24
29,12,1736,142
29,13,1809,69
29,14,1791,87
29,15,1470,408
29,16,1701,177
29,17,1130,748
29,18,1743,135
29,19,739,1139
29,20,1180,698
29,21,1583,295
29,22,1575,303
29,23,1268,610
29,24,1692,186
29,25,1158,720
29,26,1368,510
29,27,1075,803
29,28,6,1872
29,29,700,1178
30,0,1771,107
30,1,1834,44
30,2,1814,64
30,3,1808,70
30,4,1808,70
30,5,1830,48
30,6,1726,152
30,7,1832,46
30,8,1791,87
30,9,1819,59
30,10,1823,55
30,11,1854,24
30,12,1736,142
30,13,1809,69
30,14,1791,87
30,15,1470,408
30,16,1701,177
30,17,1130,748
30,18,1743,135
30,19,739,1139
30,20,1180,698
30,21,1583,295
30,22,1575,303
30,23,1268,610
30,24,1692,186
30,25,1158,720
30,26,1368,510
30,27,1075,803
30,28,6,1872
30,29,700,1178
31,0,1771,107
31,1,1834,44
31,2,1814,64
31,3,1808,70
31,4,1808,70
31,5,1830,48
31,6,1726,152
31,7,1832,46
31,8,1791,87
31,9,1819,59
31,10,1823,55
31,11,1854,24
31,12,1736,142
31,13,1809,69
31,14,1791,87
31,15,1470,408
31,16,1701,177
31,17,1130,748
31,18,1743,135
31,19,739,1139
31,20,1180,698
31,21,1583,295
31,22,1575,303
31,23,1268,610
31,24,1692,186
31,25,1158,720
31,26,1368,510
31,27,1075,803
31,28,6,1872
31,29,700,1178
32,0,1771,107
32,1,1834,44
32,2,1814,64
32,3,1808,70
32,4,1808,70
32,5,1830,48
32,6,1726,152
32,7,1832,46
32,8,1791,87
32,9,1819,59
32,10,1823,55
32,11,1854,24
32,12,1736,142
32,13,1809,69
32,14,1791,87
32,15,1470,408
32,16,1701,177
32,17,1130,748
32,18,1743,135
32,19,739,1139
32,20,1180,698
32,21,1583,295
32,22,1575,303
32,23,1268,610
32,24,1692,186
32,25,1158,720
32,26,1368,510
32,27,1075,803
32,28,6,1872
32,29,700,1178
33,0,1771,107
33,1,1834,44
33,2,1814,64
33,3,1808,70
33,4,1808,70
33,5,1830,48
33,6,1726,152
33,7,1832,46
33,8,1791,87
33,9,1819,59
33,10,1823,55
33,11,1854,24
33,12,1736,142
33,13,1809,69
33,14,1791,87
33,15,1470,408
33,16,1701,177
33,17,1130,748
33,18,1743,135
33,19,739,1139
33,20,1180,698
33,21,1583,295
33,22,1575,303
33,23,1268,610
33,24,1692,186
33,25,1158,720
33,26,1368,510
33,27,1075,803
33,28,6,1872
33,29,700,1178
34,0,1771,107
34,1,1834,44
34,2,1814,64
34,3,1808,70
34,4,1808,70
34,5,1830,48
34,6,1726,152
34,7,1832,46
34,8,1791,87
34,9,1819,59
34,10,1823,55
34,11,1854,24
34,12,1736,142
34,13,1809,69
34,14,1791,87
34,15,1470,408
34,16,1701,177
34,17,1130,748
34,18,1743,135
34,19,739,1139
34,20,1180,698
34,21,1583,295
34,22,1575,303
34,23,1268,610
34,24,1692,186
34,25,1158,720
34,26,1368,510
34,27,1075,803
34,28,6,1872
34,29,700,1178
35,0,1771,107
35,1,1834,44
35,2,1814,64
35,3,1808,70
35,4,1808,70
35,5,1830,48
35,6,1726,152
35,7,1832,46
35,8,1791,87
35,9,1819,59
35,10,1823,55
35,11,1854,24
35,12,1736,142
35,13,1809,69
35,14,1791,87
35,15,1470,408
35,16,1701,177
35,17,1130,748
35,18,1743,135
35,19,739,1139
35,20,1180,698
35,21,1583,295
35,22,1575,303
35,23,1268,610
35,24,1692,186
35,25,1158,720
35,26,1368,510
35,27,1075,803
35,28,6,1872
35,29,700,1178
36,0,1771,107
36,1,1834,44
36,2,1814,64
36,3,1808,70
36,4,1808,70
36,5,1830,48
36,6,1726,152
36,7,1832,46
36,8,1791,87
36,9,1819,59
36,10,1823,55
36,11,1854,24
36,12,1736,142
36,13,1809,69
36,14,1791,87
36,15,1470,408
36,16,1701,177
36,17,1130,748
36,18,1743,135
36,19,739,1139
36,20,1180,698
36,21,1583,295
36,22,1575,303
36,23,1268,610
36,24,1692,186
36,25,1158,720
36,26,1368,510
36,27,1075,803
36,28,6,1872
36,29,700,1178
37,0,1771,107
37,1,1834,44
37,2,1814,64
37,3,1808,70
37,4,1808,70
37,5,1830,48
37,6,1726,152
37,7,1832,46
37,8,1791,87
37,9,1819,59
37,10,1823,55
37,11,1854,24
37,12,1736,142
37,13,1809,69
37,14,1791,87
37,15,1470,408
37,16,1701,177
37,17,1130,748
37,18,1743,135
37,19,739,1139
37,20,1180,698
37,21,1583,295
37,22,1575,303
37,23,1268,610
37,24,1692,186
37,25,1158,720
37,26,1368,510
37,27,1075,803
37,28,6,1872
37,29,700,1178
38,0,1771,107
38,1,1834,44
38,2,1814,64
38,3,1808,70
38,4,1808,70
38,5,1830,48
38,6,1726,152
38,7,1832,46
38,8,1791,87
38,9,1819,59
38,10,1823,55
38,11,1854,24
38,12,1736,142
38,13,1809,69
38,14,1791,87
38,15,1470,408
38,16,1701,177
38,17,1130,748
38,18,1743,135
38,19,739,1139
38,20,1180,698
38,21,1583,295
38,22,1575,303
38,23,1268,610
38,24,1692,186
38,25,1158,720
38,26,1368,510
38,27,1075,803
38,28,6,1872
38,29,700,1178
39,0,1771,107
39,1,1834,44
39,2,1814,64
39,3,1808,70
39,4,1808,70
39,5,1830,48
39,6,1726,152
39,7,1832,46
39,8,1791,87
39,9,1819,59
39,10,1823,55
39,11,1854,24
39,12,1736,142
39,13,1809,69
39,14,1791,87
39,15,1470,408
39,16,1701,177
39,17,1130,748
39,18,1743,135
39,19,739,1139
39,20,1180,698
39,21,1583,295
39,22,1575,303
39,23,1268,610
39,24,1692,186
39,25,1158,720
39,26,1368,510
39,27,1075,803
39,28,6,1872
39,29,700,1178
40,0,1771,107
40,1,1834,44
40,2,1814,64
40,3,1808,70
40,4,1808,70
40,5,1830,48
40,6,1726,152
40,7,1832,46
40,8,1791,87
40,9,1819,59
40,10,1823,55
40,11,1854,24
40,12,1736,142
40,13,1809,69
40,14,1791,87
40,15,1470,408
40,16,1701,177
40,17,1130,748
40,18,1743,135
40,19,739,1139
40,20,1180,698
40,21,1583,295
40,22,1575,303
40,23,1268,610
40,24,1692,186
40,25,1158,720
40,26,1368,510
40,27,1075,803
40,28,6,1872
40,29,700,1178
41,0,1771,107
41,1,1834,44
41,2,1814,64
41,3,1808,70
41,4,1808,70
41,5,1830,48
41,6,1726,152
41,7,1832,46
41,8,1791,87
41,9,1819,59
41,10,1823,55
41,11,1854,24
41,12,1736,142
41,13,1809,69
41,14,1791,87
41,15,1470,408
41,16,1701,177
41,17,1130,748
41,18,1743,135
41,19,739,1139
41,20,1180,698
41,21,1583,295
41,22,1575,303
41,23,1268,610
41,24,1692,186
41,25,1158,720
41,26,1368,510
41,27,1075,803
41,28,6,1872
41,29,700,1178
42,0,1771,107
42,1,1834,44
42,2,1814,64
42,3,1808,70
42,4,1808,70
42,5,1830,48
42,6,1726,152
42,7,1832,46
42,8,1791,87
42,9,1819,59
42,10,1823,55
42,11,1854,24
42,12,1736,142
42,13,1809,69
42,14,1791,87
42,15,1470,408
42,16,1701,177
42,17,1130,748
42,18,1743,135
42,19,739,1139
42,20,1180,698
42,21,1583,295
42,22,1575,303
42,23,1268,610
42,24,1692,186
42,25,1158,720
42,26,1368,510
42,27,1075,803
42,28,6,1872
42,29,700,1178
43,0,1771,107
43,1,1834,44
43,2,1814,64
43,3,1808,70
43,4,1808,70
43,5,1830,48
43,6,1726,152
43,7,1832,46
43,8,1791,87
43,9,1819,59
43,10,1823,55
43,11,1854,24
43,12,1736,142
43,13,1809,69
43,14,1791,87
43,15,1470,408
43,16,1701,177
43,17,1130,748
43,18,1743,135
43,19,739,1139
43,20,1180,698
43,21,1583,295
43,22,1575,303
43,23,1268,610
43,24,1692,186
43,25,1158,720
43,26,1368,510
43,27,1075,803
43,28,6,1872
43,29,700,1178
44,0,1771,107
44,1,1834,44
44,2,1814,64
44,3,1808,70
44,4,1808,70
44,5,1830,48
44,6,1726,152
44,7,1832,46
44,8,1791,87
44,9,1819,59
44,10,1823,55
44,11,1854,24
44,12,1736,142
44,13,1809,69
44,14,1791,87
44,15,1470,408
44,16,1701,177
44,17,1130,748
44,18,1743,135
44,19,739,1139
44,20,1180,698
44,21,1583,295
44,22,1575,303
44,23,1268,610
44,24,1692,186
44,25,1158,720
44,26,1368,510
44,27,1075,803
44,28,6,1872
44,29,700,1178
45,0,1771,107
45,1,1834,44
45,2,1814,64
45,3,1808,70
45,4,1808,70
45,5,1830,48
45,6,1726,152
45,7,1832,46
