round,node,peers,ul_bytes,dl_bytes,busy_ticks,train_ticks,round_duration_ticks,idle_ticks
0,0,3;9,1727768,1727768,115,83,913,798
0,1,4;10,740472,740472,81,46,913,832
0,2,4;9,1480944,1480944,139,102,913,774
0,3,4;12,987296,987296,64,29,913,849
0,4,2;8,1480944,1480944,87,51,913,826
0,5,2;9,493648,493648,56,47,913,857
0,6,9;11,987296,987296,56,25,913,857
0,7,9;10,740472,740472,76,48,913,837
0,8,4;10,740472,740472,70,41,913,843
0,9,0;2,1727768,1727768,71,43,913,842
0,10,8;11,987296,987296,66,53,913,847
0,11,10;14,987296,987296,98,87,913,815
0,12,3;13,987296,987296,72,44,913,841
0,13,11;12,987296,987296,95,54,913,818
0,14,11;12,1234120,1234120,151,110,913,762
0,15,7;12,987296,987296,615,568,913,298
0,16,13;14,493648,493648,475,434,913,438
0,17,14;15,493648,493648,666,629,913,247
0,18,2;15,493648,493648,573,526,913,340
0,19,0;20,493648,493648,518,484,913,395
0,20,14;29,740472,740472,447,413,913,466
0,21,4;13,493648,493648,619,584,913,294
0,22,2;4,493648,493648,869,833,913,44
0,23,0;6,493648,493648,499,467,913,414
0,24,9;27,493648,493648,901,866,913,12
0,25,9;27,493648,493648,544,502,913,369
0,26,0;8,493648,493648,559,528,913,354
0,27,0;6,987296,987296,662,620,913,251
0,28,1;3,493648,493648,612,577,913,301
0,29,0;2,740472,740472,451,418,913,462
1,0,1;3,1727768,1727768,115,83,911,796
1,1,0;2,740472,740472,73,46,911,838
1,2,1;5,1480944,1480944,139,102,911,772
1,3,0;4,1234120,1234120,64,29,911,847
1,4,2;3,740472,740472,64,51,911,847
1,5,7;8,987296,987296,82,47,911,829
1,6,4;8,1234120,1234120,56,25,911,855
1,7,5;10,740472,740472,59,48,911,852
1,8,5;6,740472,740472,70,41,911,841
1,9,0;7,987296,987296,71,43,911,840
1,10,7;11,740472,740472,65,53,911,846
1,11,6;14,740472,740472,98,87,911,813
1,12,3;14,740472,740472,72,44,911,839
1,13,10;14,740472,740472,95,54,911,816
1,14,11;13,2221416,2221416,151,110,911,760
1,15,12;14,493648,493648,596,568,911,315
1,16,13;14,493648,493648,475,434,911,436
1,17,14;20,987296,987296,673,629,911,238
1,18,2;17,493648,493648,570,526,911,341
1,19,0;17,740472,740472,521,484,911,390
1,20,14;19,740472,740472,449,413,911,462
1,21,3;14,493648,493648,619,584,911,292
1,22,2;5,493648,493648,868,833,911,43
1,23,0;6,740472,740472,502,467,911,409
1,24,9;23,493648,493648,901,866,911,10
1,25,9;28,493648,493648,547,502,911,364
1,26,0;8,493648,493648,559,528,911,352
1,27,0;6,493648,493648,652,620,911,259
1,28,3;14,740472,740472,622,577,911,289
1,29,1;2,493648,493648,445,418,911,466
2,0,1;3,1234120,1234120,114,83,910,796
2,1,4;10,1480944,1480944,81,46,910,829
2,2,5;9,1234120,1234120,139,102,910,771
2,3,1;4,987296,987296,43,29,910,867
2,4,2;3,740472,740472,65,51,910,845
2,5,6;7,1727768,1727768,82,47,910,828
2,6,5;8,1234120,1234120,56,25,910,854
2,7,5;9,987296,987296,76,48,910,834
2,8,5;6,493648,493648,52,41,910,858
2,9,5;7,1234120,1234120,71,43,910,839
2,10,7;11,987296,987296,66,53,910,844
2,11,6;14,740472,740472,98,87,910,812
2,12,3;13,987296,987296,72,44,910,838
2,13,5;10,1234120,1234120,95,54,910,815
2,14,11;12,1727768,1727768,151,110,910,759
2,15,7;12,740472,740472,605,568,910,305
2,16,13;14,493648,493648,475,434,910,435
2,17,14;15,987296,987296,673,629,910,237
2,18,2;17,493648,493648,570,526,910,340
2,19,0;17,493648,493648,521,484,910,389
2,20,14;29,493648,493648,446,413,910,464
2,21,13;14,493648,493648,618,584,910,292
2,22,2;5,493648,493648,868,833,910,42
2,23,6;24,493648,493648,502,467,910,408
2,24,9;26,987296,987296,901,866,910,9
2,25,9;27,493648,493648,544,502,910,366
2,26,0;24,493648,493648,562,528,910,348
2,27,6;24,740472,740472,662,620,910,248
2,28,1;14,493648,493648,612,577,910,298
2,29,0;1,740472,740472,451,418,910,459
3,0,3;9,1480944,1480944,115,83,910,795
3,1,2;4,1234120,1234120,81,46,910,829
3,2,1;5,1234120,1234120,139,102,910,771
3,3,1;4,1234120,1234120,64,29,910,846
3,4,3;8,1234120,1234120,86,51,910,824
3,5,2;8,1234120,1234120,82,47,910,828
3,6,4;5,1234120,1234120,56,25,910,854
3,7,5;9,987296,987296,76,48,910,834
3,8,5;6,1234120,1234120,70,41,910,840
3,9,2;7,1234120,1234120,71,43,910,839
3,10,7;8,740472,740472,65,53,910,845
3,11,6;14,493648,493648,98,87,910,812
3,12,3;14,740472,740472,56,44,910,854
3,13,10;12,740472,740472,95,54,910,815
3,14,11;12,1727768,1727768,151,110,910,759
3,15,7;14,493648,493648,596,568,910,314
3,16,13;14,493648,493648,475,434,910,435
3,17,14;20,987296,987296,673,629,910,237
3,18,2;17,493648,493648,570,526,910,340
3,19,0;17,493648,493648,521,484,910,389
3,20,14;29,740472,740472,449,413,910,461
3,21,4;14,493648,493648,619,584,910,291
3,22,2;5,493648,493648,868,833,910,42
3,23,0;24,493648,493648,502,467,910,408
3,24,9;26,987296,987296,901,866,910,9
3,25,9;27,493648,493648,544,502,910,366
3,26,0;8,740472,740472,562,528,910,348
3,27,6;24,740472,740472,662,620,910,248
3,28,1;3,493648,493648,612,577,910,298
3,29,0;1,740472,740472,451,418,910,459
4,0,1;3,1727768,1727768,115,83,910,795
4,1,0;10,987296,987296,81,46,910,829
4,2,4;5,1234120,1234120,139,102,910,771
4,3,4;12,987296,987296,64,29,910,846
4,4,2;8,987296,987296,86,51,910,824
4,5,2;7,987296,987296,82,47,910,828
4,6,5;11,987296,987296,56,25,910,854
4,7,5;10,987296,987296,76,48,910,834
4,8,4;10,740472,740472,70,41,910,840
4,9,0;7,987296,987296,71,43,910,839
4,10,8;11,1234120,1234120,66,53,910,844
4,11,6;10,987296,987296,98,87,910,812
4,12,3;13,740472,740472,72,44,910,838
4,13,10;11,1234120,1234120,95,54,910,815
4,14,11;13,1234120,1234120,144,110,910,766
4,15,7;12,740472,740472,605,568,910,305
4,16,13;28,493648,493648,476,434,910,434
4,17,14;15,1234120,1234120,673,629,910,237
4,18,2;17,493648,493648,570,526,910,340
4,19,0;17,493648,493648,521,484,910,389
4,20,14;17,493648,493648,449,413,910,461
4,21,3;4,493648,493648,619,584,910,291
4,22,2;5,493648,493648,868,833,910,42
4,23,0;6,493648,493648,499,467,910,411
4,24,9;26,493648,493648,900,866,910,10
4,25,9;27,493648,493648,544,502,910,366
4,26,0;8,740472,740472,562,528,910,348
4,27,0;6,740472,740472,662,620,910,248
4,28,1;14,740472,740472,619,577,910,291
4,29,1;2,493648,493648,445,418,910,465
5,0,3;9,1727768,1727768,115,83,910,795
5,1,2;10,987296,987296,81,46,910,829
5,2,4;9,1234120,1234120,139,102,910,771
5,3,0;4,987296,987296,64,29,910,846
5,4,6;8,1234120,1234120,87,51,910,823
5,5,6;8,740472,740472,58,47,910,852
5,6,9;11,1727768,1727768,56,25,910,854
5,7,5;9,987296,987296,76,48,910,834
5,8,5;6,987296,987296,70,41,910,840
5,9,2;6,1480944,1480944,71,43,910,839
5,10,7;11,987296,987296,66,53,910,844
5,11,6;10,740472,740472,98,87,910,812
5,12,3;14,493648,493648,56,44,910,854
5,13,10;14,987296,987296,95,54,910,815
5,14,11;12,1974592,1974592,151,110,910,759
5,15,7;14,493648,493648,596,568,910,314
5,16,13;14,493648,493648,475,434,910,435
5,17,14;20,987296,987296,673,629,910,237
5,18,2;17,493648,493648,570,526,910,340
5,19,0;17,493648,493648,521,484,910,389
5,20,14;29,740472,740472,449,413,910,461
5,21,13;14,493648,493648,618,584,910,292
5,22,2;4,493648,493648,869,833,910,41
5,23,0;6,740472,740472,502,467,910,408
5,24,9;23,493648,493648,901,866,910,9
5,25,9;27,493648,493648,544,502,910,366
5,26,0;8,493648,493648,559,528,910,351
5,27,0;6,740472,740472,662,620,910,248
5,28,1;3,493648,493648,612,577,910,298
5,29,0;1,740472,740472,451,418,910,459
6,0,1;3,1234120,1234120,115,83,913,798
6,1,0;4,1234120,1234120,81,46,913,832
6,2,1;5,1234120,1234120,139,102,913,774
6,3,1;4,1234120,1234120,64,29,913,849
6,4,2;3,1727768,1727768,87,51,913,826
6,5,2;9,1480944,1480944,82,47,913,831
6,6,4;5,740472,740472,56,25,913,857
6,7,9;10,740472,740472,76,48,913,837
6,8,4;5,740472,740472,70,41,913,843
6,9,5;7,987296,987296,71,43,913,842
6,10,7;11,493648,493648,64,53,913,849
6,11,10;14,740472,740472,98,87,913,815
6,12,3;13,740472,740472,72,44,913,841
6,13,5;11,1234120,1234120,95,54,913,818
6,14,11;13,1234120,1234120,144,110,913,769
6,15,7;12,987296,987296,615,568,913,298
6,16,13;28,493648,493648,476,434,913,437
6,17,14;15,493648,493648,666,629,913,247
6,18,2;15,493648,493648,573,526,913,340
6,19,0;20,493648,493648,518,484,913,395
6,20,14;19,493648,493648,447,413,913,466
6,21,3;4,493648,493648,619,584,913,294
6,22,4;5,493648,493648,869,833,913,44
6,23,0;24,493648,493648,502,467,913,411
6,24,9;27,987296,987296,901,866,913,12
6,25,9;28,493648,493648,547,502,913,366
6,26,8;24,493648,493648,562,528,913,351
6,27,6;24,493648,493648,655,620,913,258
6,28,1;14,987296,987296,622,577,913,291
6,29,0;2,493648,493648,445,418,913,468
7,0,3;9,1234120,1234120,115,83,910,795
7,1,2;4,740472,740472,73,46,910,837
7,2,5;9,1480944,1480944,139,102,910,771
7,3,4;12,1234120,1234120,64,29,910,846
7,4,2;8,1480944,1480944,87,51,910,823
7,5,7;8,1234120,1234120,82,47,910,828
7,6,8;9,1234120,1234120,56,25,910,854
7,7,5;9,987296,987296,76,48,910,834
7,8,5;10,1234120,1234120,70,41,910,840
7,9,2;7,1480944,1480944,71,43,910,839
7,10,7;8,493648,493648,64,53,910,846
7,11,6;14,493648,493648,98,87,910,812
7,12,3;14,740472,740472,56,44,910,854
7,13,5;12,493648,493648,66,54,910,844
7,14,11;12,1727768,1727768,151,110,910,759
7,15,7;14,493648,493648,596,568,910,314
7,16,14;28,493648,493648,476,434,910,434
7,17,14;20,740472,740472,673,629,910,237
7,18,2;17,493648,493648,570,526,910,340
7,19,0;20,493648,493648,518,484,910,392
7,20,14;29,987296,987296,449,413,910,461
7,21,3;4,493648,493648,619,584,910,291
7,22,4;5,493648,493648,869,833,910,41
7,23,0;6,740472,740472,502,467,910,408
7,24,9;23,740472,740472,901,866,910,9
7,25,9;27,493648,493648,544,502,910,366
7,26,0;8,493648,493648,559,528,910,351
7,27,6;24,740472,740472,662,620,910,248
7,28,3;14,740472,740472,619,577,910,291
7,29,1;2,740472,740472,451,418,910,459
8,0,1;3,1234120,1234120,115,83,913,798
8,1,4;10,987296,987296,81,46,913,832
8,2,4;9,1480944,1480944,139,102,913,774
8,3,0;4,987296,987296,64,29,913,849
8,4,6;8,1480944,1480944,86,51,913,827
8,5,2;9,1234120,1234120,82,47,913,831
8,6,8;11,1480944,1480944,56,25,913,857
8,7,5;9,740472,740472,76,48,913,837
8,8,4;5,1234120,1234120,70,41,913,843
8,9,5;6,1480944,1480944,71,43,913,842
8,10,8;11,987296,987296,66,53,913,847
8,11,6;14,987296,987296,98,87,913,815
8,12,3;14,740472,740472,72,44,913,841
8,13,10;11,987296,987296,95,54,913,818
8,14,12;13,1480944,1480944,144,110,913,769
8,15,7;12,987296,987296,615,568,913,298
8,16,13;28,493648,493648,476,434,913,437
8,17,14;15,740472,740472,666,629,913,247
8,18,2;15,493648,493648,573,526,913,340
8,19,0;17,493648,493648,521,484,913,392
8,20,14;29,493648,493648,446,413,913,467
8,21,4;14,493648,493648,619,584,913,294
8,22,2;5,493648,493648,868,833,913,45
8,23,6;24,493648,493648,502,467,913,411
8,24,9;27,987296,987296,901,866,913,12
8,25,9;28,493648,493648,547,502,913,366
8,26,8;24,493648,493648,562,528,913,351
8,27,0;6,740472,740472,655,620,913,258
8,28,1;3,987296,987296,622,577,913,291
8,29,0;2,740472,740472,451,418,913,462
9,0,3;9,1974592,1974592,115,83,910,795
9,1,0;3,987296,987296,73,46,910,837
9,2,1;5,987296,987296,139,102,910,771
9,3,1;12,1480944,1480944,64,29,910,846
9,4,2;3,740472,740472,87,51,910,823
9,5,6;7,1234120,1234120,82,47,910,828
9,6,5;9,1480944,1480944,56,25,910,854
9,7,9;10,987296,987296,76,48,910,834
