round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,1256,22,42,0
1,1258,21,43,0
2,1258,21,43,0
3,1263,21,43,0
4,1258,21,43,0
5,1258,22,42,0
6,1263,22,43,0
7,1258,21,43,0
8,1256,22,42,0
9,1263,22,43,0
10,1258,21,43,0
11,1258,22,42,0
12,1256,22,42,0
13,1263,22,43,0
14,1258,22,43,0
15,1258,21,43,0
16,1263,21,43,0
17,1256,21,42,0
18,1258,21,42,0
19,1263,21,43,0
20,1258,21,43,0
21,1256,22,42,0
22,1263,22,43,0
23,1256,21,42,0
24,1256,21,42,0
25,1263,21,43,0
26,1258,21,43,0
27,1258,22,43,0
28,1263,21,43,0
29,1256,22,42,0
30,1263,22,43,0
31,1258,22,43,0
32,1256,22,42,0
33,1256,22,42,0
34,1263,21,43,0
35,1258,21,42,0
36,1258,21,43,0
37,1258,22,42,0
38,1256,22,42,0
39,1258,22,43,0
40,1258,22,42,0
41,1256,21,42,0
42,1263,21,43,0
43,1256,22,42,0
44,1263,21,43,0
45,1258,21,43,0
46,1258,22,42,0
47,1258,22,42,0
48,1258,22,43,0
49,1258,22,42,0
50,1256,21,42,0
51,1256,21,42,0
52,1256,21,42,0
53,1256,21,42,0
54,1256,21,42,0
55,1256,21,42,0
56,1256,21,42,0
57,1258,21,42,0
58,1256,21,42,0
59,1256,21,42,0
60,1256,21,42,0
61,1256,21,42,0
62,1256,21,42,0
63,1256,21,42,0
64,1256,21,42,0
65,1256,21,42,0
66,1256,22,42,0
67,1256,21,42,0
68,1256,22,42,0
69,1256,21,42,0
70,1256,22,42,0
71,1256,21,42,0
72,1256,22,42,0
73,1256,21,42,0
74,1256,21,42,0
75,1256,21,42,0
76,1256,21,42,0
77,1261,22,42,0
78,1256,21,42,0
79,1256,22,42,0
80,1256,21,42,0
81,1256,22,42,0
82,1256,21,42,0
83,1256,21,42,0
84,1256,21,42,0
85,1256,21,42,0
86,1256,21,42,0
87,1256,21,42,0
88,1256,22,42,0
89,1256,22,42,0
90,1256,22,42,0
91,1256,22,42,0
92,1256,21,42,0
93,1256,22,42,0
94,1256,22,42,0
95,1256,22,42,0
96,1256,21,42,0
97,1256,22,42,0
98,1258,22,42,0
99,1258,21,42,0
