round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
0,0,1,246824,13,3133.333194,4699.999861,0
0,1,0,246824,13,4699.999861,3133.333194,0
0,0,2,246824,8,3133.333194,3759.999861,0
0,2,0,246824,8,3759.999861,3133.333194,0
0,0,15,246824,22,3133.333194,9399.999861,0
0,15,0,246824,22,9399.999861,3133.333194,0
0,0,27,246824,33,3133.333194,6266.666527,0
0,27,0,246824,33,6266.666527,3133.333194,0
0,0,28,246824,22,3133.333194,6266.666527,0
0,28,0,246824,22,6266.666527,3133.333194,0
0,0,29,246824,31,3133.333194,6266.666527,0
0,29,0,246824,31,6266.666527,3133.333194,0
0,1,2,246824,11,4699.999861,3759.999861,0
0,2,1,246824,11,3759.999861,4699.999861,0
0,1,3,246824,11,4699.999861,4699.999861,0
0,3,1,246824,11,4699.999861,4699.999861,0
0,1,17,246824,26,4699.999861,3759.999861,0
0,17,1,246824,26,3759.999861,4699.999861,0
0,2,3,246824,8,3759.999861,4699.999861,0
0,3,2,246824,8,4699.999861,3759.999861,0
0,2,4,246824,9,3759.999861,4699.999861,0
0,4,2,246824,9,4699.999861,3759.999861,0
0,2,5,246824,8,3759.999861,6266.666527,0
0,5,2,246824,8,6266.666527,3759.999861,0
0,3,6,246824,9,4699.999861,3133.333194,0
0,6,3,246824,9,3133.333194,4699.999861,0
0,3,24,246824,27,4699.999861,3759.999861,0
0,24,3,246824,27,3759.999861,4699.999861,0
0,4,6,246824,11,4699.999861,3133.333194,0
0,6,4,246824,11,3133.333194,4699.999861,0
0,4,13,246824,11,4699.999861,6266.666527,0
0,13,4,246824,11,6266.666527,4699.999861,0
0,4,19,246824,43,4699.999861,9399.999861,0
0,19,4,246824,43,9399.999861,4699.999861,0
0,5,6,246824,10,6266.666527,3133.333194,0
0,6,5,246824,10,3133.333194,6266.666527,0
0,5,8,246824,9,6266.666527,3759.999861,0
0,8,5,246824,9,3759.999861,6266.666527,0
0,6,7,246824,9,3133.333194,4699.999861,0
0,7,6,246824,9,4699.999861,3133.333194,0
0,6,8,246824,8,3133.333194,3759.999861,0
0,8,6,246824,8,3759.999861,3133.333194,0
0,6,9,246824,11,3133.333194,6266.666527,0
0,9,6,246824,11,6266.666527,3133.333194,0
0,7,10,246824,8,4699.999861,3133.333194,0
0,10,7,246824,8,3133.333194,4699.999861,0
0,7,22,246824,22,4699.999861,3759.999861,0
0,22,7,246824,22,3759.999861,4699.999861,0
0,7,27,246824,32,4699.999861,6266.666527,0
0,27,7,246824,32,6266.666527,4699.999861,0
0,8,11,246824,10,3759.999861,9399.999861,0
0,11,8,246824,10,9399.999861,3759.999861,0
0,8,22,246824,21,3759.999861,3759.999861,0
0,22,8,246824,21,3759.999861,3759.999861,0
0,8,29,246824,29,3759.999861,6266.666527,0
0,29,8,246824,29,6266.666527,3759.999861,0
0,9,10,246824,11,6266.666527,3133.333194,0
0,10,9,246824,11,3133.333194,6266.666527,0
0,9,20,246824,37,6266.666527,9399.999861,0
0,20,9,246824,37,9399.999861,6266.666527,0
0,10,11,246824,11,3133.333194,9399.999861,0
0,11,10,246824,11,9399.999861,3133.333194,0
0,10,12,246824,8,3133.333194,9399.999861,0
0,12,10,246824,8,9399.999861,3133.333194,0
0,10,20,246824,35,3133.333194,9399.999861,0
0,20,10,246824,35,9399.999861,3133.333194,0
0,10,28,246824,21,3133.333194,6266.666527,0
0,28,10,246824,21,6266.666527,3133.333194,0
0,12,14,246824,8,9399.999861,3759.999861,0
0,14,12,246824,8,3759.999861,9399.999861,0
0,13,14,246824,9,6266.666527,3759.999861,0
0,14,13,246824,9,3759.999861,6266.666527,0
0,13,16,246824,30,6266.666527,9399.999861,0
0,16,13,246824,30,9399.999861,6266.666527,0
0,14,15,246824,21,3759.999861,9399.999861,0
0,15,14,246824,21,9399.999861,3759.999861,0
0,14,17,246824,24,3759.999861,3759.999861,0
0,17,14,246824,24,3759.999861,3759.999861,0
0,14,18,246824,34,3759.999861,9399.999861,0
0,18,14,246824,34,9399.999861,3759.999861,0
0,16,17,246824,33,9399.999861,3759.999861,0
0,17,16,246824,33,3759.999861,9399.999861,0
0,17,18,246824,36,3759.999861,9399.999861,0
0,18,17,246824,36,9399.999861,3759.999861,0
0,17,19,246824,43,3759.999861,9399.999861,0
0,19,17,246824,43,9399.999861,3759.999861,0
0,21,22,246824,30,9399.999861,3759.999861,0
0,22,21,246824,30,3759.999861,9399.999861,0
0,21,24,246824,35,9399.999861,3759.999861,0
0,24,21,246824,35,3759.999861,9399.999861,0
0,22,23,246824,42,3759.999861,9399.999861,0
0,23,22,246824,42,9399.999861,3759.999861,0
0,22,25,246824,30,3759.999861,9399.999861,0
0,25,22,246824,30,9399.999861,3759.999861,0
0,23,24,246824,40,9399.999861,3759.999861,0
0,24,23,246824,40,3759.999861,9399.999861,0
0,24,25,246824,32,3759.999861,9399.999861,0
0,25,24,246824,32,9399.999861,3759.999861,0
0,24,27,246824,40,3759.999861,6266.666527,0
0,27,24,246824,40,6266.666527,3759.999861,0
0,26,28,246824,31,9399.999861,6266.666527,0
0,28,26,246824,31,6266.666527,9399.999861,0
0,26,29,246824,40,9399.999861,6266.666527,0
0,29,26,246824,40,6266.666527,9399.999861,0
1,0,1,246824,13,3136.110972,6272.222083,0
1,1,0,246824,13,6272.222083,3136.110972,0
1,0,2,246824,8,3136.110972,9408.333194,0
1,2,0,246824,8,9408.333194,3136.110972,0
1,0,15,246824,22,3136.110972,4704.166527,0
1,15,0,246824,22,4704.166527,3136.110972,0
1,0,27,246824,33,3136.110972,4704.166527,0
1,27,0,246824,33,4704.166527,3136.110972,0
1,0,28,246824,22,3136.110972,3763.333194,0
1,28,0,246824,22,3763.333194,3136.110972,0
1,0,29,246824,31,3136.110972,9408.333194,0
1,29,0,246824,31,9408.333194,3136.110972,0
1,1,4,246824,14,6272.222083,2688.095099,0
1,4,1,246824,14,2688.095099,6272.222083,0
1,1,17,246824,26,6272.222083,9408.333194,0
1,17,1,246824,26,9408.333194,6272.222083,0
1,2,4,246824,9,9408.333194,2688.095099,0
1,4,2,246824,9,2688.095099,9408.333194,0
1,3,5,246824,10,6272.222083,6272.222083,0
1,5,3,246824,10,6272.222083,6272.222083,0
1,3,6,246824,9,6272.222083,3136.110972,0
1,6,3,246824,9,3136.110972,6272.222083,0
1,3,24,246824,27,6272.222083,6272.222083,0
1,24,3,246824,27,6272.222083,6272.222083,0
1,4,6,246824,11,2688.095099,3136.110972,0
1,6,4,246824,11,3136.110972,2688.095099,0
1,4,7,246824,10,2688.095099,2688.095099,0
1,7,4,246824,10,2688.095099,2688.095099,0
1,4,13,246824,11,2688.095099,3763.333194,0
1,13,4,246824,11,3763.333194,2688.095099,0
1,4,19,246824,43,2688.095099,9408.333194,0
1,19,4,246824,43,9408.333194,2688.095099,0
1,4,29,246824,32,2688.095099,9408.333194,0
1,29,4,246824,32,9408.333194,2688.095099,0
1,5,6,246824,10,6272.222083,3136.110972,0
1,6,5,246824,10,3136.110972,6272.222083,0
1,5,7,246824,9,6272.222083,2688.095099,0
1,7,5,246824,9,2688.095099,6272.222083,0
1,6,7,246824,9,3136.110972,2688.095099,0
1,7,6,246824,9,2688.095099,3136.110972,0
