round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,915,27,47,0
1,915,27,47,0
2,915,27,47,0
3,915,27,47,0
4,915,27,47,0
5,915,27,47,0
6,915,27,47,0
7,915,27,47,0
8,915,27,47,0
9,915,27,47,0
10,915,27,47,0
11,915,27,47,0
12,915,27,47,0
13,915,27,47,0
14,915,27,47,0
15,915,27,47,0
16,915,27,47,0
17,915,27,47,0
18,915,27,47,0
19,915,27,47,0
20,915,27,47,0
21,915,27,47,0
22,915,27,47,0
23,915,27,47,0
24,915,27,47,0
25,915,27,47,0
26,915,27,47,0
27,915,27,47,0
28,915,27,47,0
29,915,27,47,0
30,915,27,47,0
31,915,27,47,0
32,915,27,47,0
33,915,27,47,0
34,915,27,47,0
35,915,27,47,0
36,915,27,47,0
37,915,27,47,0
38,915,27,47,0
39,915,27,47,0
40,915,27,47,0
41,915,27,47,0
42,915,27,47,0
43,915,27,47,0
44,915,27,47,0
45,915,27,47,0
46,915,27,47,0
47,915,27,47,0
48,915,27,47,0
49,915,27,47,0
50,915,27,47,0
51,915,27,47,0
52,915,27,47,0
53,915,27,47,0
54,915,27,47,0
55,915,27,47,0
56,915,27,47,0
57,915,27,47,0
58,915,27,47,0
59,915,27,47,0
60,915,27,47,0
61,915,27,47,0
62,915,27,47,0
63,915,27,47,0
64,915,27,47,0
65,915,27,47,0
66,915,27,47,0
67,915,27,47,0
68,915,27,47,0
69,915,27,47,0
70,915,27,47,0
71,915,27,47,0
72,915,27,47,0
73,915,27,47,0
74,915,27,47,0
75,915,27,47,0
76,915,27,47,0
77,915,27,47,0
78,915,27,47,0
79,915,27,47,0
80,915,27,47,0
81,915,27,47,0
82,915,27,47,0
83,915,27,47,0
84,915,27,47,0
85,915,27,47,0
86,915,27,47,0
87,915,27,47,0
88,915,27,47,0
89,915,27,47,0
90,915,27,47,0
91,915,27,47,0
92,915,27,47,0
93,915,27,47,0
94,915,27,47,0
95,915,27,47,0
96,915,27,47,0
97,915,27,47,0
98,915,27,47,0
99,915,27,47,0
